2026-09-08T02:36:19Z	cassandra	18010	23826125	3680816542B	FINISHED	20260908_023601_00042_6dba3
2026-09-08T02:36:38Z	cassandra	18560	23856709	3685548233B	FINISHED	20260908_023620_00043_6dba3
2026-09-08T02:36:58Z	cassandra	19140	23887901	3690373753B	FINISHED	20260908_023639_00044_6dba3
2026-09-08T02:37:18Z	cassandra	18580	23918383	3695084375B	FINISHED	20260908_023659_00045_6dba3
2026-09-08T02:37:39Z	cassandra	18920	23951944	3700269043B	FINISHED	20260908_023720_00046_6dba3
2026-09-08T02:42:11Z	cqlite	29550	24359360	3763213193B	FINISHED	20260908_024141_00047_6dba3
2026-09-08T02:42:27Z	cqlite	13200	24402072	3769809451B	FINISHED	20260908_024214_00048_6dba3
2026-09-08T02:42:41Z	cqlite	12940	24424107	3773213300B	FINISHED	20260908_024228_00049_6dba3
2026-09-08T02:42:55Z	cqlite	13330	24445808	3776578187B	FINISHED	20260908_024242_00050_6dba3
2026-09-08T02:43:09Z	cqlite	13060	24468329	3780067492B	FINISHED	20260908_024256_00051_6dba3
2026-09-08T02:43:22Z	cqlite	12730	24489800	3783384294B	FINISHED	20260908_024309_00052_6dba3
2026-09-08T02:43:36Z	cqlite	12810	24511258	3786692748B	FINISHED	20260908_024323_00053_6dba3
2026-09-08T02:43:50Z	cqlite	13700	24532713	3790012648B	FINISHED	20260908_024336_00054_6dba3
2026-09-08T02:44:05Z	cqlite	13130	24555644	3793550451B	FINISHED	20260908_024351_00055_6dba3
2026-09-08T02:44:19Z	cqlite	13040	24578257	3797040563B	FINISHED	20260908_024405_00056_6dba3
2026-09-08T02:44:33Z	cqlite	13640	24599831	3800370890B	FINISHED	20260908_024419_00057_6dba3
2026-09-08T02:44:47Z	cqlite	13670	24622631	3803890921B	FINISHED	20260908_024434_00058_6dba3
2026-09-08T02:45:01Z	cqlite	13080	24645401	3807406318B	FINISHED	20260908_024448_00059_6dba3
2026-09-08T02:45:16Z	cqlite	13710	24667185	3810775159B	FINISHED	20260908_024502_00060_6dba3
2026-09-08T02:45:30Z	cqlite	13050	24690203	3814324381B	FINISHED	20260908_024516_00061_6dba3
2026-09-08T02:45:44Z	cqlite	13450	24712048	3817698082B	FINISHED	20260908_024530_00062_6dba3
2026-09-08T02:45:59Z	cqlite	14580	24734205	3821122670B	FINISHED	20260908_024544_00063_6dba3
2026-09-08T02:46:13Z	cqlite	13370	24758167	3824826928B	FINISHED	20260908_024600_00064_6dba3
2026-09-08T02:46:27Z	cqlite	13090	24780497	3828282113B	FINISHED	20260908_024614_00065_6dba3
2026-09-08T02:46:41Z	cqlite	13250	24802948	3831747175B	FINISHED	20260908_024628_00066_6dba3
2026-09-08T02:46:56Z	cqlite	13500	24825211	3835187458B	FINISHED	20260908_024642_00067_6dba3
2026-09-08T02:47:10Z	cqlite	13180	24848173	3838739277B	FINISHED	20260908_024656_00068_6dba3
2026-09-08T02:47:26Z	cqlite	13440	24873399	3842650145B	FINISHED	20260908_024712_00069_6dba3
2026-09-08T02:47:40Z	cqlite	13360	24896128	3846162177B	FINISHED	20260908_024727_00070_6dba3
2026-09-08T02:47:55Z	cqlite	13650	24918512	3849619629B	FINISHED	20260908_024741_00071_6dba3
2026-09-08T02:48:10Z	cqlite	13360	24942297	3853290481B	FINISHED	20260908_024756_00072_6dba3
2026-09-08T02:48:24Z	cqlite	13580	24964520	3856725841B	FINISHED	20260908_024810_00073_6dba3
2026-09-08T02:48:38Z	cqlite	13230	24987324	3860250155B	FINISHED	20260908_024825_00074_6dba3
2026-09-08T02:48:53Z	cqlite	13710	25009776	3863724744B	FINISHED	20260908_024839_00075_6dba3
2026-09-08T02:49:08Z	cqlite	13560	25032513	3867229009B	FINISHED	20260908_024853_00076_6dba3
2026-09-08T02:49:23Z	cqlite	13720	25057858	3871144209B	FINISHED	20260908_024909_00077_6dba3
2026-09-08T02:49:37Z	cqlite	13540	25080610	3874660263B	FINISHED	20260908_024924_00078_6dba3
2026-09-08T02:49:52Z	cqlite	13730	25103177	3878144875B	FINISHED	20260908_024938_00079_6dba3
